Customer ID,Credit Score,Existing Loans,Utilization,Missed Payments (12M),Total Outstanding Debt,Debt-to-Income Ratio
260,750,2,0.28,5,228469.73,0.38
261,590,5,0.66,2,304192.13,0.71
262,740,4,0.01,2,260189.67,0.11
263,700,3,0.86,0,22687.5,0.51
264,680,5,0.22,4,261227.05,0.38
265,700,3,0.52,0,191663.42,0.56
266,700,2,0.15,5,104375.44,0.76
267,570,1,0.79,6,154497.24,0.76
268,670,4,0.52,1,445680.35,0.35
269,760,1,0.16,3,344715.98,0.46
270,660,4,0.58,3,75970.39,0.4
271,520,5,0.6,6,410128.43,0.44
272,550,1,0.86,5,310487.02,0.57
273,820,4,0.29,1,168943.63,0.13
274,770,5,0.16,1,262430.29,0.5
275,560,5,0.84,3,390122.48,0.75
276,670,5,0.73,1,497062.71,0.1
277,600,2,0.95,5,87501.72,0.66
278,760,3,0.02,3,153948.57,0.34
279,660,3,0.27,3,403594.22,0.62
280,620,3,0.73,1,450079.91,0.51
281,700,1,0.5,5,296031.8,0.29
282,740,4,0.34,2,294528.08,0.49
283,770,1,0.59,1,129668.98,0.13
284,620,5,0.03,6,214768.73,0.61
285,570,2,0.75,6,31899.41,0.76
286,700,0,0.91,0,312563.4,0.77
287,800,5,0.22,0,121467.57,0.73
288,700,0,0.52,0,434564.2,0.66
289,750,0,0.81,0,437905.63,0.35
290,850,0,0.33,0,315262.22,0.34
291,680,3,0.45,4,460945.52,0.33
292,850,0,0.28,0,122830.74,0.51
293,780,1,0.06,4,157391.3,0.44
294,700,3,0.88,0,446201.48,0.33
295,620,4,0.31,6,157608.74,0.56
296,800,4,0.38,0,378111.35,0.22
297,640,5,0.6,2,297065.9,0.3
298,750,0,0.68,0,193010.22,0.74
299,820,2,0.27,1,310092.26,0.18
300,630,4,0.33,4,346749.72,0.63
301,820,2,0.5,1,468124.82,0.2
302,680,1,0.65,4,76586.59,0.24
303,600,2,0.78,5,499482.78,0.37
304,520,4,0.97,6,387325.65,0.22
305,630,4,0.64,4,64461.63,0.32
306,850,0,0.1,0,298834.62,0.11
307,680,2,0.23,4,497243.37,0.52
308,730,2,0.47,4,326544.93,0.13
309,570,5,0.75,6,57391.93,0.11
310,850,3,0.42,0,220674.59,0.45
311,770,5,0.05,1,93499.96,0.57
312,850,0,0.4,0,175253.3,0.68
313,810,1,0.29,3,224382.17,0.41
314,670,2,0.69,1,432988.66,0.73
315,750,3,0.76,0,109346.72,0.14
316,870,1,0.0,1,29688.31,0.38
317,620,5,0.44,6,313067.38,0.45
318,660,2,0.56,3,208147.68,0.68
319,740,5,0.16,2,212727.31,0.64
320,900,0,0.29,0,212353.36,0.35
321,710,4,0.19,3,329135.66,0.5
322,680,2,0.64,4,195362.06,0.28
323,600,1,0.75,5,355936.88,0.13
324,680,4,0.42,4,29889.49,0.63
325,650,3,0.76,0,488163.71,0.67
326,580,4,0.85,4,49327.36,0.54
327,750,1,0.62,0,306621.29,0.34
328,700,0,0.79,0,271950.07,0.77
329,610,3,0.58,3,69510.71,0.63
330,580,4,0.59,4,64776.15,0.6
331,670,2,0.38,6,157902.65,0.76
332,790,5,0.39,2,40194.08,0.21
333,600,3,0.89,5,241534.15,0.43
334,760,1,0.21,3,326322.59,0.36
335,740,4,0.3,2,21221.68,0.73
336,850,2,0.39,0,99820.45,0.74
337,770,4,0.39,1,181123.33,0.77
338,670,5,0.69,1,34852.5,0.73
339,840,1,0.0,2,227021.95,0.31
340,670,2,0.27,6,311288.23,0.17
341,750,0,0.61,0,263552.98,0.36
342,610,3,0.67,3,410853.46,0.44
343,670,3,0.95,1,368691.26,0.4
344,900,1,0.03,0,196199.12,0.16
345,550,3,0.55,5,165073.2,0.52
346,680,5,0.35,4,421799.55,0.41
347,600,3,0.81,5,169687.81,0.44
348,840,1,0.04,2,90680.94,0.19
349,770,3,0.27,1,148739.27,0.63
350,740,3,0.22,2,394635.83,0.15
351,580,2,0.89,4,419749.23,0.76
352,750,1,0.8,0,79442.28,0.67
353,780,2,0.35,4,214061.55,0.12
354,850,3,0.15,0,154564.84,0.35
355,900,0,0.29,0,177370.5,0.41
356,770,5,0.21,1,353472.39,0.48
357,750,0,0.77,0,265864.27,0.18
358,520,3,0.56,6,75261.06,0.65
359,680,3,0.24,4,113259.78,0.56
360,700,1,0.36,5,23429.47,0.51
361,580,4,0.79,4,180691.3,0.69
362,570,4,0.9,6,58191.12,0.19
363,800,0,0.22,0,426224.52,0.68
364,710,2,0.53,3,141718.8,0.28
365,660,1,0.81,3,156967.59,0.62
366,720,1,0.39,6,22771.53,0.48
367,850,4,0.17,0,42296.88,0.19
368,800,2,0.75,0,128621.72,0.47
369,800,5,0.23,0,31677.28,0.67
370,550,1,0.69,5,276931.44,0.64
371,550,3,0.63,5,327399.07,0.15
372,800,0,0.16,0,261028.85,0.73
373,750,0,0.94,0,415962.69,0.5
374,770,5,0.12,1,489704.85,0.33
375,850,0,0.06,0,133541.79,0.62
376,790,3,0.03,2,173776.26,0.35
377,760,3,0.02,3,195225.12,0.27
378,630,1,0.55,4,440429.44,0.17
379,700,4,0.61,0,52530.66,0.59
380,900,0,0.23,0,165615.79,0.26
381,470,4,0.78,6,406485.1,0.53
382,610,5,0.6,3,408758.63,0.27
383,750,0,0.87,0,485243.05,0.22
384,500,3,0.6,5,365987.1,0.73
385,690,2,0.76,2,351213.22,0.34
386,770,4,0.18,1,306542.73,0.49
387,520,3,0.87,6,289676.03,0.36
388,700,2,0.73,0,361047.73,0.57
389,630,1,0.69,4,425709.26,0.27
390,620,1,0.15,6,459626.03,0.72
391,720,1,0.29,6,178676.6,0.32
392,900,0,0.25,0,166842.18,0.34
393,600,3,0.91,5,115696.35,0.25
394,720,5,0.9,1,119215.86,0.15
395,660,1,0.59,3,493639.88,0.32
396,600,1,0.81,5,245512.73,0.51
397,680,1,0.91,4,72467.1,0.5
398,690,2,0.77,2,75136.1,0.54
399,650,5,0.67,0,332168.87,0.73
400,820,5,0.07,1,22643.34,0.24
401,770,5,0.44,1,77648.67,0.59
402,850,0,0.21,0,186434.32,0.7
403,850,0,0.31,0,320807.02,0.13
404,800,0,0.07,0,389804.13,0.61
405,700,1,0.03,5,357580.8,0.5
406,750,0,0.87,0,418344.08,0.27
407,750,0,0.96,0,251244.13,0.12
408,620,3,0.36,6,100601.79,0.65
409,690,3,0.82,2,239198.76,0.35
410,900,0,0.2,0,59546.5,0.45
411,700,1,0.36,5,436436.66,0.29
412,670,5,0.63,1,436823.46,0.13
413,730,5,0.11,4,79038.91,0.27
414,900,0,0.35,0,180985.21,0.35
415,630,3,0.59,4,232234.23,0.28
416,850,0,0.31,0,301404.97,0.47
417,690,2,0.56,2,403669.66,0.15
418,870,2,0.22,1,15299.55,0.36
419,750,3,0.59,0,102564.95,0.25
420,570,4,0.89,6,37453.59,0.48
421,850,3,0.33,0,222747.6,0.2
422,660,5,0.94,3,83284.34,0.37
423,800,3,0.14,0,403317.2,0.18
424,740,3,0.01,2,12069.19,0.71
425,850,0,0.23,0,356551.0,0.39
426,520,1,0.62,6,405756.84,0.65
427,700,2,0.44,5,26561.44,0.71
428,600,1,0.61,5,113131.4,0.67
429,700,3,0.37,5,26762.8,0.35
430,520,4,0.81,6,394892.28,0.46
431,630,3,0.31,4,322494.94,0.78
432,570,1,0.52,6,30139.16,0.66
433,640,4,0.99,2,473718.32,0.13
434,520,1,0.82,6,401901.66,0.76
435,760,2,0.34,3,115320.61,0.67
436,810,2,0.17,3,44950.33,0.2
437,750,0,0.82,0,225508.25,0.71
438,700,1,0.78,0,254370.4,0.65
439,770,3,0.2,1,128097.15,0.57
440,630,5,0.78,4,42861.64,0.41
441,550,5,0.74,5,227515.56,0.68
442,680,5,0.14,4,468395.05,0.42
443,740,4,0.26,2,170077.74,0.56
444,800,0,0.51,0,106241.71,0.33
445,670,3,0.26,6,215467.69,0.45
446,900,0,0.34,0,196832.04,0.4
447,660,1,0.91,3,395075.1,0.42
448,720,2,0.84,1,277749.54,0.5
449,810,2,0.48,3,70465.98,0.42
450,640,2,0.86,2,477414.4,0.66
451,530,3,0.9,4,412416.45,0.54
452,800,2,0.78,0,233070.56,0.11
453,600,2,0.62,5,329826.62,0.46
454,650,5,0.88,0,407288.54,0.55
455,680,2,0.11,4,305265.08,0.62
456,700,2,0.84,0,355086.48,0.62
457,700,2,0.16,5,481681.54,0.42
458,750,0,0.59,0,328774.36,0.44
459,850,0,0.42,0,399184.46,0.32
460,660,5,0.62,3,10640.85,0.43
461,870,2,0.09,1,153864.46,0.35
462,800,0,0.87,0,210774.65,0.18
463,670,3,0.19,6,143450.1,0.16
464,580,3,0.6,4,349278.49,0.43
465,700,4,0.59,0,7478.56,0.69
466,740,4,0.1,2,13812.13,0.61
467,720,2,0.99,1,452053.98,0.29
468,800,0,0.02,0,252667.99,0.72
469,600,5,0.33,5,427048.04,0.63
470,800,0,0.27,0,330991.07,0.79
471,580,1,0.73,4,298665.37,0.56
472,760,1,0.38,3,39118.1,0.71
473,750,0,0.92,0,183854.74,0.54
474,750,1,0.94,0,169045.82,0.72
475,750,3,0.26,0,498938.6,0.73
476,750,5,0.3,0,410271.91,0.53
477,850,0,0.22,0,497553.93,0.42
478,690,4,0.52,2,245099.73,0.31
479,630,3,0.56,4,56824.46,0.5
480,820,4,0.29,1,203693.0,0.29
481,740,5,0.46,2,341484.68,0.17
482,770,5,0.17,1,302738.15,0.33
483,850,4,0.14,0,89551.73,0.27
484,680,5,0.12,4,68978.44,0.59
485,650,3,0.29,5,282221.74,0.16
486,550,5,0.73,5,320961.41,0.38
487,740,5,0.48,2,265515.46,0.15
488,520,2,0.6,6,252681.5,0.51
489,560,5,0.67,3,299328.28,0.79
490,750,3,0.85,0,154464.52,0.27
491,740,5,0.2,2,225720.09,0.67
492,720,4,0.77,1,122684.45,0.24
493,900,0,0.04,0,20027.49,0.39
494,720,2,0.33,6,43677.39,0.2
495,600,5,0.24,5,335278.66,0.6
496,700,4,0.92,0,110004.06,0.69
497,660,1,0.65,3,104052.6,0.62
498,740,2,0.59,2,113967.38,0.29
499,770,2,0.9,1,83605.23,0.44
500,840,2,0.19,2,213617.17,0.38
