Customer ID,Credit Score,Existing Loans,Utilization,Missed Payments (12M),Total Outstanding Debt,Debt-to-Income Ratio,Risk Classification
110,720,5,0.05,1,444266.38,0.72,High Risk
111,600,5,0.5,5,283299.87,0.68,High Risk
112,520,1,0.53,6,452414.85,0.6,High Risk
113,680,5,0.04,4,211765.78,0.55,High Risk
114,710,2,0.52,3,62984.2,0.35,High Risk
115,670,3,0.43,6,181546.42,0.14,High Risk
116,750,3,0.97,0,206990.34,0.38,High Risk
117,720,1,0.96,1,16805.79,0.72,High Risk
118,740,2,0.57,2,211310.66,0.1,Low Risk
119,720,4,0.82,1,173849.03,0.44,High Risk
120,620,4,0.07,6,191637.21,0.54,High Risk
121,680,4,0.42,4,136766.98,0.53,High Risk
122,720,4,0.78,1,191816.64,0.28,High Risk
123,500,4,0.55,5,391918.98,0.66,High Risk
124,850,1,0.47,0,344775.92,0.31,Low Risk
125,850,0,0.35,0,420653.15,0.31,Low Risk
126,720,4,0.58,1,11415.55,0.45,Low Risk
127,720,2,0.74,1,43672.61,0.64,High Risk
128,630,1,0.98,4,479615.33,0.19,High Risk
129,710,4,0.05,3,409190.2,0.32,High Risk
130,730,1,0.01,4,20343.16,0.71,High Risk
131,900,0,0.47,0,137572.8,0.43,Low Risk
132,550,5,0.85,5,270118.45,0.49,High Risk
133,900,0,0.48,0,85387.73,0.17,Low Risk
134,850,4,0.33,0,205946.01,0.17,Low Risk
135,730,1,0.16,4,280735.29,0.27,High Risk
136,750,1,0.87,0,443557.2,0.28,High Risk
137,740,2,0.18,2,271651.81,0.78,High Risk
138,560,3,0.91,3,322937.7,0.65,High Risk
139,660,5,0.68,3,93751.36,0.32,High Risk
140,740,1,0.73,2,156725.25,0.2,High Risk
141,770,3,0.06,1,200556.39,0.56,Low Risk
142,770,4,0.1,1,117308.97,0.54,Low Risk
143,850,0,0.36,0,349972.37,0.36,Low Risk
144,750,0,0.65,0,12473.35,0.63,High Risk
145,740,4,0.1,2,350231.63,0.36,Low Risk
146,670,5,0.38,6,3305.5,0.11,High Risk
147,600,1,0.95,5,68992.31,0.51,High Risk
148,850,3,0.44,0,52598.7,0.32,Low Risk
149,750,0,0.94,0,15898.12,0.63,High Risk
150,600,1,0.68,5,383517.6,0.33,High Risk
151,650,1,0.27,5,493186.77,0.74,High Risk
152,670,2,0.55,1,430168.6,0.51,Low Risk
153,570,2,0.65,6,189222.74,0.65,High Risk
154,740,5,0.15,2,148563.83,0.78,High Risk
155,850,0,0.16,0,291541.21,0.38,Low Risk
156,520,5,0.82,6,420621.02,0.28,High Risk
157,720,1,0.59,1,313724.3,0.22,Low Risk
158,550,1,0.73,5,467133.11,0.71,High Risk
159,630,2,0.67,4,209437.57,0.73,High Risk
160,790,3,0.38,2,83499.22,0.25,Low Risk
161,650,3,0.02,5,298533.62,0.33,High Risk
162,690,3,0.68,2,47746.8,0.15,Low Risk
163,700,0,0.65,0,395547.22,0.71,High Risk
164,770,1,0.91,1,100979.09,0.37,High Risk
165,610,2,0.95,3,266780.31,0.74,High Risk
166,660,1,0.63,3,49805.47,0.51,High Risk
167,740,3,0.02,2,457914.63,0.41,Low Risk
168,870,1,0.29,1,56672.02,0.12,Low Risk
169,570,4,0.38,6,373213.04,0.76,High Risk
170,650,2,0.78,5,1080.07,0.47,High Risk
171,700,5,0.11,5,129027.3,0.19,High Risk
172,630,5,0.24,4,288774.64,0.59,High Risk
173,670,5,0.6,1,434252.88,0.5,Low Risk
174,500,5,0.68,5,338684.72,0.58,High Risk
175,610,4,0.98,3,86551.21,0.73,High Risk
176,700,1,0.03,5,257202.41,0.18,High Risk
177,650,1,0.43,5,460857.47,0.73,High Risk
178,700,2,0.55,0,487151.89,0.55,Low Risk
179,800,3,0.43,0,479602.93,0.18,Low Risk
180,850,0,0.17,0,250814.04,0.49,Low Risk
181,750,2,0.33,5,96789.86,0.15,High Risk
182,750,0,0.59,0,477896.57,0.35,Low Risk
183,720,5,0.97,1,98643.65,0.16,High Risk
184,820,2,0.01,1,405816.41,0.44,Low Risk
185,800,2,0.63,0,178324.97,0.44,Low Risk
186,900,0,0.02,0,183780.76,0.23,Low Risk
187,680,1,0.88,4,132532.88,0.4,High Risk
188,790,2,0.23,2,15056.32,0.77,High Risk
189,900,1,0.26,0,87082.39,0.36,Low Risk
190,750,0,0.84,0,341450.25,0.44,High Risk
191,520,1,0.97,6,264411.78,0.8,High Risk
192,900,0,0.01,0,66102.04,0.32,Low Risk
193,670,3,0.11,6,18616.2,0.5,High Risk
194,740,5,0.1,2,2655.43,0.61,High Risk
195,700,4,0.11,5,208256.49,0.14,High Risk
196,750,3,0.8,0,136175.53,0.17,High Risk
197,690,5,0.61,2,160306.87,0.34,Low Risk
198,730,4,0.01,4,194629.96,0.34,High Risk
199,800,2,0.0,0,328744.17,0.57,Low Risk
200,850,0,0.06,0,236543.61,0.79,High Risk
201,710,4,0.4,3,14807.59,0.64,High Risk
202,740,5,0.37,2,483806.79,0.27,Low Risk
203,800,0,0.22,0,333653.66,0.57,Low Risk
204,550,4,0.99,5,77288.15,0.57,High Risk
205,800,0,0.25,0,275033.91,0.77,High Risk
206,620,2,0.64,6,19075.92,0.4,High Risk
207,730,2,0.21,4,432623.81,0.29,High Risk
208,630,2,0.74,4,489240.06,0.27,High Risk
209,640,4,0.89,2,204376.82,0.52,High Risk
210,700,2,0.89,0,344542.67,0.69,High Risk
211,720,1,0.22,6,153132.66,0.44,High Risk
212,660,3,0.19,3,382566.58,0.75,High Risk
213,750,0,0.83,0,106000.26,0.64,High Risk
214,790,2,0.18,2,338829.39,0.34,Low Risk
215,710,2,0.64,3,35602.34,0.2,High Risk
216,610,4,0.84,3,326814.05,0.22,High Risk
217,640,2,0.96,2,423081.93,0.72,High Risk
218,600,5,0.23,5,308140.5,0.62,High Risk
219,680,2,0.75,4,144313.0,0.43,High Risk
220,740,3,0.14,2,135319.99,0.67,High Risk
221,680,3,0.25,4,186296.9,0.64,High Risk
222,900,0,0.42,0,136369.53,0.47,Low Risk
223,650,2,0.09,5,476518.75,0.55,High Risk
224,640,3,0.8,2,69613.95,0.68,High Risk
225,690,2,0.51,2,186886.05,0.57,Low Risk
226,670,5,0.31,6,239505.14,0.19,High Risk
227,790,2,0.43,2,144275.3,0.66,High Risk
228,790,4,0.27,2,241221.0,0.45,Low Risk
229,770,4,0.07,1,381024.94,0.33,Low Risk
230,820,5,0.2,1,38132.73,0.24,Low Risk
231,900,0,0.0,0,55667.55,0.1,Low Risk
232,680,2,0.29,4,371586.67,0.78,High Risk
233,620,3,0.22,6,313528.14,0.38,High Risk
234,760,2,0.28,3,352436.36,0.2,High Risk
235,660,2,0.98,3,427885.66,0.11,High Risk
236,750,0,0.88,0,294693.96,0.18,High Risk
237,670,4,0.88,1,51495.37,0.75,High Risk
238,650,5,0.31,5,211810.82,0.65,High Risk
239,760,2,0.42,3,358677.59,0.49,High Risk
240,900,0,0.1,0,31579.67,0.28,Low Risk
241,720,1,0.41,6,1588.15,0.38,High Risk
242,580,2,0.66,4,291596.29,0.7,High Risk
243,620,4,0.31,6,429132.8,0.47,High Risk
244,740,4,0.13,2,58649.39,0.52,Low Risk
245,850,0,0.09,0,312349.06,0.46,Low Risk
246,850,0,0.25,0,74804.08,0.78,High Risk
247,810,1,0.32,3,19376.51,0.13,High Risk
248,570,1,0.86,6,201435.93,0.52,High Risk
249,500,5,0.96,5,329022.09,0.56,High Risk
250,770,4,0.16,1,95076.17,0.68,High Risk
251,570,2,0.99,6,235941.21,0.73,High Risk
252,730,1,0.22,4,448552.16,0.37,High Risk
253,700,1,0.37,5,429577.13,0.27,High Risk
254,520,1,0.85,6,277046.8,0.65,High Risk
255,820,5,0.34,1,106569.56,0.33,Low Risk
256,750,0,0.82,0,126263.21,0.65,High Risk
257,750,0,0.82,0,363286.54,0.3,High Risk
258,790,2,0.11,2,279017.1,0.26,Low Risk
259,850,0,0.29,0,140916.03,0.51,Low Risk
260,750,2,0.28,5,228469.73,0.38,High Risk
261,590,5,0.66,2,304192.13,0.71,High Risk
262,740,4,0.01,2,260189.67,0.11,Low Risk
263,700,3,0.86,0,22687.5,0.51,High Risk
264,680,5,0.22,4,261227.05,0.38,High Risk
265,700,3,0.52,0,191663.42,0.56,Low Risk
266,700,2,0.15,5,104375.44,0.76,High Risk
267,570,1,0.79,6,154497.24,0.76,High Risk
268,670,4,0.52,1,445680.35,0.35,Low Risk
269,760,1,0.16,3,344715.98,0.46,High Risk
270,660,4,0.58,3,75970.39,0.4,High Risk
271,520,5,0.6,6,410128.43,0.44,High Risk
272,550,1,0.86,5,310487.02,0.57,High Risk
273,820,4,0.29,1,168943.63,0.13,Low Risk
274,770,5,0.16,1,262430.29,0.5,Low Risk
275,560,5,0.84,3,390122.48,0.75,High Risk
276,670,5,0.73,1,497062.71,0.1,High Risk
277,600,2,0.95,5,87501.72,0.66,High Risk
278,760,3,0.02,3,153948.57,0.34,High Risk
279,660,3,0.27,3,403594.22,0.62,High Risk
280,620,3,0.73,1,450079.91,0.51,High Risk
281,700,1,0.5,5,296031.8,0.29,High Risk
282,740,4,0.34,2,294528.08,0.49,Low Risk
283,770,1,0.59,1,129668.98,0.13,Low Risk
284,620,5,0.03,6,214768.73,0.61,High Risk
285,570,2,0.75,6,31899.41,0.76,High Risk
286,700,0,0.91,0,312563.4,0.77,High Risk
287,800,5,0.22,0,121467.57,0.73,High Risk
288,700,0,0.52,0,434564.2,0.66,High Risk
289,750,0,0.81,0,437905.63,0.35,High Risk
290,850,0,0.33,0,315262.22,0.34,Low Risk
291,680,3,0.45,4,460945.52,0.33,High Risk
292,850,0,0.28,0,122830.74,0.51,Low Risk
293,780,1,0.06,4,157391.3,0.44,High Risk
294,700,3,0.88,0,446201.48,0.33,High Risk
295,620,4,0.31,6,157608.74,0.56,High Risk
296,800,4,0.38,0,378111.35,0.22,Low Risk
297,640,5,0.6,2,297065.9,0.3,High Risk
298,750,0,0.68,0,193010.22,0.74,High Risk
299,820,2,0.27,1,310092.26,0.18,Low Risk
300,630,4,0.33,4,346749.72,0.63,High Risk
301,820,2,0.5,1,468124.82,0.2,Low Risk
302,680,1,0.65,4,76586.59,0.24,High Risk
303,600,2,0.78,5,499482.78,0.37,High Risk
304,520,4,0.97,6,387325.65,0.22,High Risk
305,630,4,0.64,4,64461.63,0.32,High Risk
306,850,0,0.1,0,298834.62,0.11,Low Risk
307,680,2,0.23,4,497243.37,0.52,High Risk
308,730,2,0.47,4,326544.93,0.13,High Risk
309,570,5,0.75,6,57391.93,0.11,High Risk
310,850,3,0.42,0,220674.59,0.45,Low Risk
311,770,5,0.05,1,93499.96,0.57,Low Risk
312,850,0,0.4,0,175253.3,0.68,High Risk
313,810,1,0.29,3,224382.17,0.41,High Risk
314,670,2,0.69,1,432988.66,0.73,High Risk
315,750,3,0.76,0,109346.72,0.14,High Risk
316,870,1,0.0,1,29688.31,0.38,Low Risk
317,620,5,0.44,6,313067.38,0.45,High Risk
318,660,2,0.56,3,208147.68,0.68,High Risk
319,740,5,0.16,2,212727.31,0.64,High Risk
320,900,0,0.29,0,212353.36,0.35,Low Risk
321,710,4,0.19,3,329135.66,0.5,High Risk
322,680,2,0.64,4,195362.06,0.28,High Risk
323,600,1,0.75,5,355936.88,0.13,High Risk
324,680,4,0.42,4,29889.49,0.63,High Risk
325,650,3,0.76,0,488163.71,0.67,High Risk
326,580,4,0.85,4,49327.36,0.54,High Risk
327,750,1,0.62,0,306621.29,0.34,Low Risk
328,700,0,0.79,0,271950.07,0.77,High Risk
329,610,3,0.58,3,69510.71,0.63,High Risk
330,580,4,0.59,4,64776.15,0.6,High Risk
331,670,2,0.38,6,157902.65,0.76,High Risk
332,790,5,0.39,2,40194.08,0.21,Low Risk
333,600,3,0.89,5,241534.15,0.43,High Risk
334,760,1,0.21,3,326322.59,0.36,High Risk
335,740,4,0.3,2,21221.68,0.73,High Risk
336,850,2,0.39,0,99820.45,0.74,High Risk
337,770,4,0.39,1,181123.33,0.77,High Risk
338,670,5,0.69,1,34852.5,0.73,High Risk
339,840,1,0.0,2,227021.95,0.31,Low Risk
340,670,2,0.27,6,311288.23,0.17,High Risk
341,750,0,0.61,0,263552.98,0.36,Low Risk
342,610,3,0.67,3,410853.46,0.44,High Risk
343,670,3,0.95,1,368691.26,0.4,High Risk
344,900,1,0.03,0,196199.12,0.16,Low Risk
345,550,3,0.55,5,165073.2,0.52,High Risk
346,680,5,0.35,4,421799.55,0.41,High Risk
347,600,3,0.81,5,169687.81,0.44,High Risk
348,840,1,0.04,2,90680.94,0.19,Low Risk
349,770,3,0.27,1,148739.27,0.63,High Risk
350,740,3,0.22,2,394635.83,0.15,Low Risk
351,580,2,0.89,4,419749.23,0.76,High Risk
352,750,1,0.8,0,79442.28,0.67,High Risk
353,780,2,0.35,4,214061.55,0.12,High Risk
354,850,3,0.15,0,154564.84,0.35,Low Risk
355,900,0,0.29,0,177370.5,0.41,Low Risk
356,770,5,0.21,1,353472.39,0.48,Low Risk
357,750,0,0.77,0,265864.27,0.18,High Risk
358,520,3,0.56,6,75261.06,0.65,High Risk
359,680,3,0.24,4,113259.78,0.56,High Risk
360,700,1,0.36,5,23429.47,0.51,High Risk
361,580,4,0.79,4,180691.3,0.69,High Risk
362,570,4,0.9,6,58191.12,0.19,High Risk
363,800,0,0.22,0,426224.52,0.68,High Risk
364,710,2,0.53,3,141718.8,0.28,High Risk
365,660,1,0.81,3,156967.59,0.62,High Risk
366,720,1,0.39,6,22771.53,0.48,High Risk
367,850,4,0.17,0,42296.88,0.19,Low Risk
368,800,2,0.75,0,128621.72,0.47,High Risk
369,800,5,0.23,0,31677.28,0.67,High Risk
370,550,1,0.69,5,276931.44,0.64,High Risk
371,550,3,0.63,5,327399.07,0.15,High Risk
372,800,0,0.16,0,261028.85,0.73,High Risk
373,750,0,0.94,0,415962.69,0.5,High Risk
374,770,5,0.12,1,489704.85,0.33,Low Risk
375,850,0,0.06,0,133541.79,0.62,High Risk
376,790,3,0.03,2,173776.26,0.35,Low Risk
377,760,3,0.02,3,195225.12,0.27,High Risk
378,630,1,0.55,4,440429.44,0.17,High Risk
379,700,4,0.61,0,52530.66,0.59,Low Risk
380,900,0,0.23,0,165615.79,0.26,Low Risk
381,470,4,0.78,6,406485.1,0.53,High Risk
382,610,5,0.6,3,408758.63,0.27,High Risk
383,750,0,0.87,0,485243.05,0.22,High Risk
384,500,3,0.6,5,365987.1,0.73,High Risk
385,690,2,0.76,2,351213.22,0.34,High Risk
386,770,4,0.18,1,306542.73,0.49,Low Risk
387,520,3,0.87,6,289676.03,0.36,High Risk
388,700,2,0.73,0,361047.73,0.57,High Risk
389,630,1,0.69,4,425709.26,0.27,High Risk
390,620,1,0.15,6,459626.03,0.72,High Risk
391,720,1,0.29,6,178676.6,0.32,High Risk
392,900,0,0.25,0,166842.18,0.34,Low Risk
393,600,3,0.91,5,115696.35,0.25,High Risk
394,720,5,0.9,1,119215.86,0.15,High Risk
395,660,1,0.59,3,493639.88,0.32,High Risk
396,600,1,0.81,5,245512.73,0.51,High Risk
397,680,1,0.91,4,72467.1,0.5,High Risk
398,690,2,0.77,2,75136.1,0.54,High Risk
399,650,5,0.67,0,332168.87,0.73,High Risk
400,820,5,0.07,1,22643.34,0.24,Low Risk
401,770,5,0.44,1,77648.67,0.59,Low Risk
402,850,0,0.21,0,186434.32,0.7,High Risk
403,850,0,0.31,0,320807.02,0.13,Low Risk
404,800,0,0.07,0,389804.13,0.61,High Risk
405,700,1,0.03,5,357580.8,0.5,High Risk
406,750,0,0.87,0,418344.08,0.27,High Risk
407,750,0,0.96,0,251244.13,0.12,High Risk
408,620,3,0.36,6,100601.79,0.65,High Risk
409,690,3,0.82,2,239198.76,0.35,High Risk
410,900,0,0.2,0,59546.5,0.45,Low Risk
411,700,1,0.36,5,436436.66,0.29,High Risk
412,670,5,0.63,1,436823.46,0.13,Low Risk
413,730,5,0.11,4,79038.91,0.27,High Risk
414,900,0,0.35,0,180985.21,0.35,Low Risk
415,630,3,0.59,4,232234.23,0.28,High Risk
416,850,0,0.31,0,301404.97,0.47,Low Risk
417,690,2,0.56,2,403669.66,0.15,Low Risk
418,870,2,0.22,1,15299.55,0.36,Low Risk
419,750,3,0.59,0,102564.95,0.25,Low Risk
420,570,4,0.89,6,37453.59,0.48,High Risk
421,850,3,0.33,0,222747.6,0.2,Low Risk
422,660,5,0.94,3,83284.34,0.37,High Risk
423,800,3,0.14,0,403317.2,0.18,Low Risk
424,740,3,0.01,2,12069.19,0.71,High Risk
425,850,0,0.23,0,356551.0,0.39,Low Risk
426,520,1,0.62,6,405756.84,0.65,High Risk
427,700,2,0.44,5,26561.44,0.71,High Risk
428,600,1,0.61,5,113131.4,0.67,High Risk
429,700,3,0.37,5,26762.8,0.35,High Risk
430,520,4,0.81,6,394892.28,0.46,High Risk
431,630,3,0.31,4,322494.94,0.78,High Risk
432,570,1,0.52,6,30139.16,0.66,High Risk
433,640,4,0.99,2,473718.32,0.13,High Risk
434,520,1,0.82,6,401901.66,0.76,High Risk
435,760,2,0.34,3,115320.61,0.67,High Risk
436,810,2,0.17,3,44950.33,0.2,High Risk
437,750,0,0.82,0,225508.25,0.71,High Risk
438,700,1,0.78,0,254370.4,0.65,High Risk
439,770,3,0.2,1,128097.15,0.57,Low Risk
440,630,5,0.78,4,42861.64,0.41,High Risk
441,550,5,0.74,5,227515.56,0.68,High Risk
442,680,5,0.14,4,468395.05,0.42,High Risk
443,740,4,0.26,2,170077.74,0.56,Low Risk
444,800,0,0.51,0,106241.71,0.33,Low Risk
445,670,3,0.26,6,215467.69,0.45,High Risk
446,900,0,0.34,0,196832.04,0.4,Low Risk
447,660,1,0.91,3,395075.1,0.42,High Risk
448,720,2,0.84,1,277749.54,0.5,High Risk
449,810,2,0.48,3,70465.98,0.42,High Risk
450,640,2,0.86,2,477414.4,0.66,High Risk
451,530,3,0.9,4,412416.45,0.54,High Risk
452,800,2,0.78,0,233070.56,0.11,High Risk
453,600,2,0.62,5,329826.62,0.46,High Risk
454,650,5,0.88,0,407288.54,0.55,High Risk
455,680,2,0.11,4,305265.08,0.62,High Risk
456,700,2,0.84,0,355086.48,0.62,High Risk
457,700,2,0.16,5,481681.54,0.42,High Risk
458,750,0,0.59,0,328774.36,0.44,Low Risk
459,850,0,0.42,0,399184.46,0.32,Low Risk
460,660,5,0.62,3,10640.85,0.43,High Risk
461,870,2,0.09,1,153864.46,0.35,Low Risk
462,800,0,0.87,0,210774.65,0.18,High Risk
463,670,3,0.19,6,143450.1,0.16,High Risk
464,580,3,0.6,4,349278.49,0.43,High Risk
465,700,4,0.59,0,7478.56,0.69,High Risk
466,740,4,0.1,2,13812.13,0.61,High Risk
467,720,2,0.99,1,452053.98,0.29,High Risk
468,800,0,0.02,0,252667.99,0.72,High Risk
469,600,5,0.33,5,427048.04,0.63,High Risk
470,800,0,0.27,0,330991.07,0.79,High Risk
471,580,1,0.73,4,298665.37,0.56,High Risk
472,760,1,0.38,3,39118.1,0.71,High Risk
473,750,0,0.92,0,183854.74,0.54,High Risk
474,750,1,0.94,0,169045.82,0.72,High Risk
475,750,3,0.26,0,498938.6,0.73,High Risk
476,750,5,0.3,0,410271.91,0.53,Low Risk
477,850,0,0.22,0,497553.93,0.42,Low Risk
478,690,4,0.52,2,245099.73,0.31,Low Risk
479,630,3,0.56,4,56824.46,0.5,High Risk
480,820,4,0.29,1,203693.0,0.29,Low Risk
481,740,5,0.46,2,341484.68,0.17,Low Risk
482,770,5,0.17,1,302738.15,0.33,Low Risk
483,850,4,0.14,0,89551.73,0.27,Low Risk
484,680,5,0.12,4,68978.44,0.59,High Risk
485,650,3,0.29,5,282221.74,0.16,High Risk
486,550,5,0.73,5,320961.41,0.38,High Risk
487,740,5,0.48,2,265515.46,0.15,Low Risk
488,520,2,0.6,6,252681.5,0.51,High Risk
489,560,5,0.67,3,299328.28,0.79,High Risk
490,750,3,0.85,0,154464.52,0.27,High Risk
491,740,5,0.2,2,225720.09,0.67,High Risk
492,720,4,0.77,1,122684.45,0.24,High Risk
493,900,0,0.04,0,20027.49,0.39,Low Risk
494,720,2,0.33,6,43677.39,0.2,High Risk
495,600,5,0.24,5,335278.66,0.6,High Risk
496,700,4,0.92,0,110004.06,0.69,High Risk
497,660,1,0.65,3,104052.6,0.62,High Risk
498,740,2,0.59,2,113967.38,0.29,Low Risk
499,770,2,0.9,1,83605.23,0.44,High Risk
500,840,2,0.19,2,213617.17,0.38,Low Risk
